Tagging,rank,news_type,hash_id,old_hash_id,type,version,Author,Content,Source URL,Source Name,Title,Important,Image URL,Shortened URL,Score,Categories,Relevancy_tags,Country_code,Impressive_score,targeted_city,created_at,position_start_time,position_expire_time,gallery_image_urls,full_gallery_urls,bottom_headline,bottom_text,bottom_panel_link,dfp_tags,trackers
national,10,NEWS,gveaaehy-1,jk-indian-army-recover-arms-arrest-three-in-pulwama-1703615275940,NEWS,0,Satarupa Dhar,"In a joint operation at Panzu and Gamiraj in Pulwama district, the Indian Army and J-K Police arrested three individuals with two pistols and other war-like stores. According to the information from the Chinar Corps, a Joint Cordon & Search Operation was launched by the Indian Army. Jammu and Kashmir Police at Panzu and Gamiraj in Pulwama on Dec 25.",https://chanakyaforum.com/j-k-indian-army-recover-arms-arrest-three-in-pulwama/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Chanakya Forum,"J-K: Indian Army recover arms, arrest three in Pulwama",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/26_tue/img_1703615229369_180.jpg?,https://shrts.in/eCtcL,600,"world, national","world, national",IN,10.33,,1703615275000,1970-01-01T00:00:00Z,2023-12-27T18:27:18.515Z,[],[],To read more,Tap here,https://chanakyaforum.com/j-k-indian-army-recover-arms-arrest-three-in-pulwama/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:world,cat:national,hash:8",[]
national,10,NEWS,ruki2gax-2,deepak-nepali-absconding-since-2-months-in-mahadev-app-case-held-1703668939411,NEWS,0,Nidhi Sinha,"Deepak Kumar Singh alias Deepak Nepali, who was absconding in Mahadev gambling app case, has been arrested by Chhattisgarh's Durg Police. Deepak was absconding since two months, police said, adding that he was planning to escape from the city. About 17 crimes are registered against him and he was wanted in cases of kidnapping, fraud and online betting, police stated.",https://www.youtube.com/watch?utm_campaign=fullarticle&v=qpUpoq3G07A&utm_medium=referral&utm_source=inshorts,DD News,"Deepak Nepali, absconding since 2 months in Mahadev app case, held",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703666319594_480.jpg?,https://shrts.in/do4A3,600,"business, national","business, national",IN,10.33,,1703668939000,1970-01-01T00:00:00Z,2023-12-28T08:56:48.987Z,[],[],He procured fake IDs for Mahadev app racket,Tap to know more,https://www.youtube.com/watch?utm_campaign=fullarticle&v=qpUpoq3G07A&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:business,cat:national,hash:8",[]
national,11,NEWS,aerv03m0-1,exbrs-mla-booked-for-harassing-municipal-chairperson-1703668893084,NEWS,0,News Desk,Former BRS MLA M Kishan Reddy & former Ranga Reddy district collector Amoy Kumar have been booked by the Telangana police under the SC/ST act for allegedly abusing Ibrahimpatnam Municipal Chairperson Kappari Sravanthi. A case has been booked under sections 504 and 506 of the Indian Penal Code (IPC) and section 3 (1) (r) (s) of the SC/ST POA Act.,https://www.siasat.com/ex-brs-mla-collector-booked-for-harassing-ibrahimpatnam-municipal-chairperson-2942436/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,The Siasat Daily,Ex-BRS MLA booked for harassing municipal chairperson,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703668687096_131.jpg?,https://shrts.in/ycgb9,600,national,national,IN,10.33,,1703668893000,1970-01-01T00:00:00Z,2023-12-28T09:20:52.641Z,[],[],To Read the full story,Tap Here,https://www.siasat.com/ex-brs-mla-collector-booked-for-harassing-ibrahimpatnam-municipal-chairperson-2942436/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:national,hash:6",[]
national,12,NEWS,3tqflyvg-1,telangana-traffic-challan-discount-here-are-the-details-1703668865629,NEWS,0,News Desk,"The discounts on traffic challans in Telangana, available until January 10, 2024, do not apply to all violations. Additionally, the percentage of discounts varies for different types of vehicles. Yesterday, the Telangana Transport, Roads & Buildings (Tr-I) Department issued Government Order No. 659, providing discounts on pending traffic challans in Telangana from December 26 to January 10, 2024.",https://www.siasat.com/discounts-on-traffic-challans-in-telangana-not-applicable-for-all-violations-2942462/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,The Siasat Daily,Telangana traffic challan discount: Here are the details,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703668461736_569.jpg?,https://shrts.in/yY4WU,600,national,national,IN,10.33,,1703668865000,1970-01-01T00:00:00Z,2023-12-28T09:20:03.098Z,[],[],To Read the full story,Tap Here,https://www.siasat.com/discounts-on-traffic-challans-in-telangana-not-applicable-for-all-violations-2942462/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:national,hash:4",[]
national,13,NEWS,ey81skew-2,people-loot-chickens-from-lorry-as-it-crashes-amid-fog-on-up-highway-video-surfaces-1703668800333,NEWS,0,Sakshita Khosla,"A video has shown people stealing chickens from a lorry that crashed amid dense fog on the Agra-Delhi highway in Uttar Pradesh. Some people were seen putting the birds into sacks before fleeing the spot. At least 12 vehicles crashed on the Yamuna Expressway on Wednesday morning, with visuals of the pile-up being widely shared online.",https://www.youtube.com/watch?utm_campaign=fullarticle&v=C9j9xEaQxgQ&utm_medium=referral&utm_source=inshorts,YouTube,"People loot chickens from lorry as it crashes amid fog on UP highway, video surfaces",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703667937463_497.jpg?,https://shrts.in/KE28x,800,national,national,IN,12.33,,1703668800000,1970-01-01T00:00:00Z,2023-12-28T09:07:48.094Z,[],[],Truck said to be carrying chickens worth lakhs,Tap to know more,https://www.youtube.com/watch?utm_campaign=fullarticle&v=C9j9xEaQxgQ&utm_medium=referral&utm_source=inshorts,"score:800,news:default,cat:national,hash:0",[]
national,14,NEWS,fwosjhqp-1,cases-of-covid-subvariant-jn1-rise-to-109-in-india-1703667678069,NEWS,0,Jay Pandya,"40 more cases of the Covid-19 sub-variant JN.1 were recorded, with the tally of cases of the new variant across India till Dec. 26 rising to 109, official sources told PTI. 36 cases were detected from Gujarat, 34 from Karnataka, 14 from Goa, nine from Maharashtra, 6 from Kerala, 4 each from Rajasthan & Tamil Nadu, and 2 from Telangana.",https://www.ndtvprofit.com/coronavirus-outbreak/cases-of-covid-sub-variant-jn1-rise-to-109-in-india?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,NDTV Profit,Cases of Covid sub-variant JN.1 rise to 109 in India,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703667586198_931.jpg?,https://shrts.in/9gEhA,600,national,national,IN,10.33,,1703667678000,1970-01-01T00:00:00Z,2023-12-28T09:00:43.639Z,[],[],There is no increase in hospitalisation rates,Tap to know more,https://www.ndtvprofit.com/coronavirus-outbreak/cases-of-covid-sub-variant-jn1-rise-to-109-in-india?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:national,hash:8",[]
national,15,NEWS,rxzwm8vt-1,world-clock-gifted-to-ayodhyas-ram-temple-by-vegetable-vendor-1703666933016,NEWS,1,Varsha,"The world clock that a vegetable vendor in Lucknow created can tell the time in nine different nations. Ahead of the Ram temple consecration in Ayodhya on January 22, the vendor has donated the first clock as a sign of respect to the temple. 2018 saw the creation of the world clock by 51-year-old Anil Kumar Sahu.",https://newskarnataka.com/business/world-clock-to-ayodhya/27122023?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts#google_vignette,News Karnataka,World Clock Gifted to Ayodhya’s Ram Temple by Vegetable Vendor,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703666889997_681.jpg?,https://shrts.in/g7mXT,600,national,national,IN,10.33,,1703666933000,1970-01-01T00:00:00Z,2023-12-28T08:46:39.953Z,[],[],He said he got the idea from reading newspapers,Read More,https://newskarnataka.com/business/world-clock-to-ayodhya/27122023?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts#google_vignette,"score:600,news:default,cat:national,hash:8",[]
national,16,NEWS,xq0ks0wi-1,husbands-rant-over-gutkhaeating-wife-goes-viral-1703665889587,NEWS,2,Swarna Srikanth,"Agra Police came across a case where a husband complained of his wife consuming 'gutkha' and spitting it all across their home. It was learned that the woman chewed the substance hiding it under her 'ghunghat.' Meanwhile, the woman accused her husband of indulging in illicit affairs with other women. ",https://www.freepressjournal.in/amp/india/my-wife-chews-gutkha-under-ghunghat-and-spits-all-over-the-house-agra-police-surprised-hearing-husbands-ordeal?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Free Press Journal,Husband's Rant Over Gutkha-Eating Wife Goes Viral,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703665487900_663.jpg?,https://shrts.in/zfDsM,600,"hatke, national","hatke, national, Health___Fitness",IN,11.7,,1703665889000,1970-01-01T00:00:00Z,2023-12-28T08:30:34.753Z,[],[],Couple Visits Family Counseling Center,Tap Here For Detailed Report ,https://www.freepressjournal.in/amp/india/my-wife-chews-gutkha-under-ghunghat-and-spits-all-over-the-house-agra-police-surprised-hearing-husbands-ordeal?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:hatke,cat:national,hash:5",[]
national,17,NEWS,8ltmfk8n-1,aiadmk-reminds-dmk-to-release-muslim-prisoners-1703665796987,NEWS,0,Sumavarshak,"The AIADMK urged the DMK government to take legal steps for the premature release of Muslim prisoners who have been in prison for over 20 years. In its General Council meeting, the Edappadi K Palaniswami-led party vowed to emerge victorious in all 39 Lok Sabha constituencies in TN and the lone segment in neighbouring Puducherry in the 2024 general election.",https://thesouthfirst.com/tamilnadu/aiadmk-reminds-dmk-to-release-muslim-prisoners/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,The South First,AIADMK reminds DMK to release Muslim prisoners,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703665653728_752.jpg?,https://shrts.in/9qbQV,600,"politics, national","politics, national",IN,10.559999999999999,,1703665796000,1970-01-01T00:00:00Z,2023-12-28T08:29:06.572Z,[],[],CM announces ₹8.68 crore for oil spill victims,Tap here to read more,https://thesouthfirst.com/tamilnadu/tn-cm-stalin-announces-%e2%82%b98-68-crore-in-cash-aid-to-9001-families-hit-by-oil-spill/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:politics,cat:national,hash:2",[]
national,18,NEWS,pkzzxeto-1,leaked-whatsapp-chats-with-jacqueliene-are-fake-voice-cloned-using-ai-conman-sukesh-1703665688036,NEWS,0,Sakshita Khosla,"Conman Sukesh Chandrashekar has claimed that the ""leaked"" WhatsApp messages purportedly exchanged between him and Jacqueliene Fernandez are ""fake"" and were created after he threatened to ""expose her"". Alleging that his voice was ""cloned"" using AI, Sukesh demanded a CBI investigation into the alleged chats. Reports earlier said Sukesh asked Jacqueliene to wear a ""black kurta"" for ""court date"".",https://www.ndtv.com/india-news/on-leaked-chats-with-jacqueline-fernandez-conman-sukesh-chandrasehkars-new-cloned-claim-4750018/amp/1?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,NDTV,"'Leaked' WhatsApp chats with Jacqueliene are fake, voice cloned using AI: Conman Sukesh",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703665328195_700.jpg?,https://shrts.in/P1DJx,800,"entertainment, national","national, entertainment",IN,13.38,,1703665688000,1970-01-01T00:00:00Z,2023-12-28T08:26:17.195Z,[],[],'Will get you out of this mess',Sukesh said in one purported 'leaked' message,https://www.ndtv.com/india-news/on-leaked-chats-with-jacqueline-fernandez-conman-sukesh-chandrasehkars-new-cloned-claim-4750018/amp/1?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:800,news:default,cat:entertainment,cat:national,hash:3,noads:true",[]
national,19,NEWS,nqsy0hfw-1,the-kuttanadan-duck-makes-a-comeback-on-the-festive-menu-1703665623029,NEWS,0,Sumavarshak,"As Christmas draws to a close, epicureans of Kerala have cause for celebration. After a prolonged hiatus, their beloved Kuttanadan duck has reclaimed its spot on the festive menu. This absence, a consequence of recurrent bird flu outbreaks compounded by the Covid-19-induced lockdowns, left Christmas platters bereft of the coveted Kuttanadan delicacies — a void keenly felt in Kuttanad.",https://thesouthfirst.com/kerala/this-christmas-kuttanadan-duck-makes-a-comeback-on-the-festive-menu/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,The South First,The Kuttanadan duck makes a comeback on the festive menu,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703665532075_508.jpg?,https://shrts.in/jmLZD,600,national,national,IN,10.33,,1703665623000,1970-01-01T00:00:00Z,2023-12-28T08:26:17.219Z,[],[],Bengaluru’s friendly neighbourhood home bakers,Tap here to read more,https://thesouthfirst.com/featured/bengalurus-friendly-neighborhood-home-bakers-where-to-pick-the-citys-best-christmas-cakes/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:national,hash:0",[]
national,20,NEWS,iwa23ihn-1,ammonia-gas-leak-at-ennore-fertiliser-unit-residents-hospitalised-1703665495838,NEWS,0,Sumavarshak,"An ammonia gas leak at a fertiliser manufacturing unit in Ennore resulted in several people being hospitalised, official sources said on 27 December. Following the leak, at about 11:45 pm on 26 December, an odour causing discomfort spread across the neighbourhood. Over 25 people in surrounding residential neighbourhoods experienced uneasiness, nausea, faintness, and they were taken to hospital.",https://thesouthfirst.com/tamilnadu/ammonia-gas-leaks-from-ennore-fertiliser-unit-people-hospitalised/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,thesouthfirst.com,Ammonia gas leak at Ennore fertiliser unit; residents hospitalised,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703665390815_224.jpg?,https://shrts.in/uotBo,600,national,national,IN,10.33,,1703665495000,1970-01-01T00:00:00Z,2023-12-28T08:24:13.074Z,[],[],Oil trapped inside Chennai’s Ennore Creek area,Tap here to read more,https://thesouthfirst.com/tamilnadu/ennore-oil-spill-oil-trapped-inside-chennais-ennore-creek-area-says-coast-guard/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:national,hash:7",[]
national,21,NEWS,yfhvpoei-1,taj-mahal-disappears-amid-dense-layer-of-fog-pics-surface-1703665377334,NEWS,0,Ankush Verma,"Tourists visiting Taj Mahal said they were unable to view the marble mausoleum from Royal Gate and Lady Diana Bench, which is closer to the monument, as it ""disappeared"" amid a dense layer of fog. Pictures of dense fog engulfing Taj Mahal surfaced online. According to IMD, Agra region will continue to witness thick fog for the next five days.",https://www.aninews.in/news/national/general-news/up-tourists-face-difficulties-seeing-taj-mahal-amid-dense-layer-of-fog-in-agra20231226123443/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,ANI,Taj Mahal ‘disappears’ amid dense layer of fog; pics surface,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703664571816_19.jpg?,https://shrts.in/wcZrX,800,national,national,IN,12.33,,1703665377000,1970-01-01T00:00:00Z,2023-12-28T08:18:00.239Z,[],[],To see more pictures,Tap here,https://www.aninews.in/news/national/general-news/up-tourists-face-difficulties-seeing-taj-mahal-amid-dense-layer-of-fog-in-agra20231226123443/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:800,news:default,cat:national,hash:4,noads:true",[]
